,source,band,zbound,zvalue
340,../1024/data/frame_00845,B5,zmin,1140.4754960400358
341,../1024/data/frame_00845,B5,zmax,4453.944326444417
342,../1024/data/frame_00845,B6,zmin,30.85401703692596
343,../1024/data/frame_00845,B6,zmax,180.17482186184824
344,../1024/data/frame_00845,B7,zmin,0.007011588880455835
345,../1024/data/frame_00845,B7,zmax,0.11004059526496753
346,../1024/data/frame_00845,B8,zmin,-0.005787022943589133
347,../1024/data/frame_00845,B8,zmax,0.0551163674183455
348,../1024/data/frame_00846,B3,zmin,14.766971588134766
349,../1024/data/frame_00846,B3,zmax,135.24445212389458
350,../1024/data/frame_00846,B4,zmin,53.691993713378906
351,../1024/data/frame_00846,B4,zmax,365.54497919546975
352,../1024/data/frame_00846,B5,zmin,1138.1797995387883
353,../1024/data/frame_00846,B5,zmax,4285.105766625655
354,../1024/data/frame_00846,B6,zmin,32.15961435839392
355,../1024/data/frame_00846,B6,zmax,162.02696128846716
356,../1024/data/frame_00846,B7,zmin,0.006889240247708286
357,../1024/data/frame_00846,B7,zmax,0.08233835727916668
358,../1024/data/frame_00846,B8,zmin,-0.005758641774383275
359,../1024/data/frame_00846,B8,zmax,0.036359721290651084
360,../1024/data/frame_00847,B3,zmin,13.691730499267578
361,../1024/data/frame_00847,B3,zmax,140.5944129430862
362,../1024/data/frame_00847,B4,zmin,55.60844421386719
363,../1024/data/frame_00847,B4,zmax,363.3973562719815
364,../1024/data/frame_00847,B5,zmin,1150.4560317095352
365,../1024/data/frame_00847,B5,zmax,4385.903012987364
366,../1024/data/frame_00847,B6,zmin,33.448014681244736
367,../1024/data/frame_00847,B6,zmax,173.25513236128592
368,../1024/data/frame_00847,B7,zmin,0.006193325271259844
369,../1024/data/frame_00847,B7,zmax,0.1358919428545047
370,../1024/data/frame_00847,B8,zmin,-0.005996809230445139
371,../1024/data/frame_00847,B8,zmax,0.05535076014301476
372,../1024/data/frame_00848,B3,zmin,6.961031436920166
373,../1024/data/frame_00848,B3,zmax,106.44634254487039
374,../1024/data/frame_00848,B4,zmin,30.077123641967773
375,../1024/data/frame_00848,B4,zmax,290.19183066373677
376,../1024/data/frame_00848,B5,zmin,926.8623828966277
377,../1024/data/frame_00848,B5,zmax,3740.010319294384
378,../1024/data/frame_00848,B6,zmin,23.734444989224322
379,../1024/data/frame_00848,B6,zmax,171.35974435841734
380,../1024/data/frame_00848,B7,zmin,0.0015296410995376487
